,v_eta_A5,v_eta_D5,v_eta_D4,v_eta_D3,v_eta_D2,v_eta_D1,v_sigma_A5,v_sigma_D5,v_sigma_D4,v_sigma_D3,v_sigma_D2,v_sigma_D1,v_mu_A5,v_mu_D5,v_mu_D4,v_mu_D3,v_mu_D2,v_mu_D1,v_sc_A5,v_sc_D5,v_sc_D4,v_sc_D3,v_sc_D2,v_sc_D1,v_ss_A5,v_ss_D5,v_ss_D4,v_ss_D3,v_ss_D2,v_ss_D1,v_ssk_A5,v_ssk_D5,v_ssk_D4,v_ssk_D3,v_ssk_D2,v_ssk_D1,v_zcr_A5,v_zcr_D5,v_zcr_D4,v_zcr_D3,v_zcr_D2,v_zcr_D1,v_scf_A5,v_scf_D5,v_scf_D4,v_scf_D3,v_scf_D2,v_scf_D1,v_sr_A5,v_sr_D5,v_sr_D4,v_sr_D3,v_sr_D2,v_sr_D1,v_sd_A5,v_sd_D5,v_sd_D4,v_sd_D3,v_sd_D2,v_sd_D1,v_sf_A5,v_sf_D5,v_sf_D4,v_sf_D3,v_sf_D2,v_sf_D1,bpm,filename,database
0,2.4285714285714284,2.4285714285714284,2.6923076923076925,3.0,5.327272727272727,5.584905660377358,0.49487165930539356,0.49487165930539356,0.46153846153846156,0.408248290463863,1.3080804180803598,2.166938212666695,2,2,3,3,6,4,2.944793704754762,2.355120249922301,6.233150921503197,12.086554286444645,14.882871115991357,18.829974372043743,1.7532545091539569,1.6479827380126375,2.7811781982830337,4.927043917249817,9.600833574175603,12.350455835856808,1.0055223685742603,0.9992320515789184,2.1733037884280675,4.442308083934175,5.386842505302893,7.241978509547337,0.2972973,0.1891892,0.3108108,0.27702704,0.15151516,0.09259259,0.095699266,0.10501364,0.0963161,0.09670798,0.061133005,0.04978505,4.688681325604839,4.515026461693549,8.203125,17.124830831692915,34.62201286764706,47.87029109589041,-0.051415253,-0.03676161,-0.054211244,-0.048372366,-0.049287505,-0.043006018,0.6463795,0.6856173,0.5141934,0.48026216,0.553405,0.41581646,124.0,100805.mp3,extended_ballroom
1,3.0,3.0,3.0,3.0416666666666665,5.178571428571429,12.083333333333334,0.0,0.0,0.0,0.1998263134713633,1.3901071754306116,0.2763853991962833,3,3,3,3,6,12,3.333374819923012,3.1584372808407646,6.682912866914748,13.126701900221464,18.290122702539666,19.75733533666982,0.8366414537285471,1.3053438553315317,2.0282063089795805,4.108975392117418,8.361517113082934,9.902958471507386,2.90275321532516,2.223823686926638,4.029619146359569,4.470876662185613,6.610065218465171,9.175330037855709,0.35135135,0.35135135,0.33783785,0.31756756,0.16498317,0.082491584,0.23821022,0.15369947,0.16761953,0.11410072,0.10738292,0.097897954,3.9940618699596775,4.688681325604839,8.3740234375,17.124830831692915,29.72426470588235,42.64501284246575,-0.007869469,0.00032548988,-0.0300132,-0.03640352,-0.034323577,-0.03370172,0.49393085,0.68972903,0.48268014,0.3462913,0.3684744,0.24095587,124.0,100806.mp3,extended_ballroom
2,2.909090909090909,2.909090909090909,2.5714285714285716,3.0,6.041666666666667,11.153846153846153,0.51425947722658,0.51425947722658,0.6226998490772391,0.0,0.19982631347136331,2.1248042026050973,3,3,2,3,6,12,2.933836195710315,2.269575400763934,8.256732790071432,12.941134349500441,15.308803730560923,15.597537494465072,1.4238044000678947,1.7008234702523748,3.2296535099376595,4.514135842648271,6.612349108241092,6.957633180649513,2.0564968676285473,1.1856404488657575,2.9637989295256455,4.805797542298555,7.432662615771583,10.39622628837534,0.24324325,0.1891892,0.2837838,0.29054055,0.16498317,0.082491584,0.1408845,0.10659921,0.15488441,0.13758232,0.11798388,0.102606356,4.515026461693549,4.515026461693549,10.7666015625,16.27706692913386,28.7109375,41.29655393835616,-0.031040931,-0.054679994,-0.060955204,-0.054451015,-0.05253918,-0.050662164,0.6761913,0.6958839,0.3181034,0.31471148,0.39905745,0.2933155,124.0,100807.mp3,extended_ballroom
3,3.0,3.2,3.0,3.0416666666666665,5.8,11.6,0.0,0.39999999999999997,0.0,0.1998263134713633,0.848528137423857,1.7663521732655696,3,3,3,3,6,12,3.2875973702472567,2.771341876425572,6.240454053839002,12.62645609757897,19.181518392831432,21.33742894744738,0.9259640207912497,1.3720500864693634,2.4427513731087274,4.469117443913259,8.826579730605388,11.153902364103448,2.6439528407316204,1.9209136906999191,3.73652323508063,4.01083669812152,6.639000531810952,8.730649597123074,0.2972973,0.24324325,0.33783785,0.29054055,0.16498317,0.082491584,0.2086178,0.13709807,0.15649821,0.10268517,0.1077044,0.09640259,4.167716733870968,3.9940618699596775,8.544921875,16.955278051181104,32.76424632352941,42.81357020547945,-0.0065075834,-0.016094401,-0.05475114,-0.0344159,-0.033440724,-0.038711783,0.50767684,0.62361836,0.43109167,0.3428307,0.3686803,0.23223993,124.0,100808.mp3,extended_ballroom
4,3.2,2.8333333333333335,2.9166666666666665,3.0416666666666665,6.083333333333333,11.64,0.39999999999999997,0.3726779962499649,0.2763853991962833,0.1998263134713633,0.27638539919628335,1.5460918472070149,3,3,3,3,6,12,2.8881173939838742,2.9440271071368924,4.28469907275883,13.477609287545668,17.583446994035622,18.152104112275136,1.240821475903436,1.5816145740682959,3.4250326613477764,3.174418421285999,8.070624167397973,9.063498628088054,1.7246088166292695,1.9852824056157887,2.855546862221684,5.529120139267891,7.13410827090288,9.634802520346751,0.2972973,0.35135135,0.2027027,0.3310811,0.16498317,0.082491584,0.14056839,0.13616851,0.10850869,0.15089314,0.10811479,0.09515016,3.8204070060483875,4.515026461693549,7.51953125,15.429303026574802,31.24425551470588,42.64501284246575,-0.036271792,-0.047541376,-0.1140999,-0.052701447,-0.04144405,-0.045945354,0.50403476,0.6483338,0.53440636,0.3425409,0.401931,0.25829548,124.0,106306.mp3,extended_ballroom
5,3.090909090909091,3.0,2.9166666666666665,3.0416666666666665,6.041666666666667,8.787878787878787,0.51425947722658,0.0,0.4930066485916346,0.1998263134713633,0.19982631347136331,3.4881407373397995,3,3,3,3,6,12,2.721121440982321,2.874487745643357,5.111166514181661,13.330689439822503,18.004823805370876,19.895057387756477,1.3114977451255545,1.3004346721168412,3.36012753030068,3.476790505332418,8.40226339164712,10.055351803250376,2.273073736142165,1.8625264595793443,2.9272744940997835,5.117830511805106,6.928233314506597,9.076189512756335,0.24324325,0.24324325,0.2837838,0.3310811,0.16498317,0.082491584,0.17332678,0.14063844,0.11663537,0.15131713,0.11096192,0.091104046,3.6467521421370965,3.9940618699596775,8.88671875,15.090197465551181,31.91980698529412,42.81357020547945,-0.029471641,-0.029496033,-0.10273026,-0.05584316,-0.041769393,-0.03433062,0.5361585,0.6293217,0.42646247,0.23445742,0.4075503,0.2546054,124.0,106307.mp3,extended_ballroom
6,3.0,3.0,3.0,3.0,3.21978021978022,5.8,0.0,0.0,0.408248290463863,0.0,0.8619196286209926,1.1489125293076055,3,3,3,3,3,5,3.0923266145067547,3.0619186472104,6.457360258335921,13.350049128386878,21.21957578525963,22.463000566183666,1.1994615953138448,1.143022738645179,3.4518604190932884,3.452200428594091,9.814903904756456,11.583386817440163,2.623423326472523,2.5342853182212073,2.577154310457994,5.84322229624016,5.965562448821259,7.2706576417173165,0.2972973,0.2972973,0.2837838,0.30405405,0.16498317,0.082491584,0.18713832,0.17283769,0.110147916,0.18813927,0.09750032,0.07043685,3.8204070060483875,3.8204070060483875,10.4248046875,14.581539124015748,35.12867647058823,43.31924229452055,-0.048506025,-0.043689277,-0.07177889,-0.07465155,-0.039560206,-0.022558182,0.5734703,0.61319864,0.5122241,0.32462665,0.3720752,0.24646261,124.0,106308.mp3,extended_ballroom
7,3.0,3.2,3.0,3.0416666666666665,6.0,6.191489361702128,0.0,0.39999999999999997,0.0,0.1998263134713633,0.6388765649999399,2.8332245960369877,3,3,3,3,6,4,3.1287353868094145,2.710801224046219,5.622448133828285,13.431313647286562,18.514399388460276,20.841287516530013,1.0818516404233067,1.4092010313703462,3.069641078399433,3.1822285133621753,9.384413896862249,11.963383429224201,2.516836346512226,1.7895856026770667,3.1879342649531925,5.829984129309453,6.493758575426797,8.03564380448909,0.2972973,0.24324325,0.2837838,0.3310811,0.16498317,0.082491584,0.18881474,0.14446409,0.14188915,0.16508786,0.1015184,0.07098294,3.9940618699596775,3.8204070060483875,7.861328125,14.92064468503937,33.6086856617647,47.70173373287671,-0.03466588,-0.05960439,-0.0987623,-0.0643436,-0.052027136,-0.04380599,0.554841,0.5601563,0.43980667,0.3036094,0.3893073,0.32489738,124.0,106309.mp3,extended_ballroom
8,2.4285714285714284,2.125,2.9166666666666665,3.0,3.0842105263157893,6.020408163265306,0.49487165930539356,0.33071891388307384,0.4930066485916347,0.0,0.675326944519808,0.42808524415108223,2,2,3,3,3,6,1.0834073972893878,2.323998310413804,5.659847494724001,12.135271491681038,18.541175048819625,18.594533181563456,1.5425841449127016,2.104439782612542,3.0825442755996666,5.389690774661346,11.051746364832772,9.480202479897775,2.8820936136342543,1.5924697389948015,2.47112399152933,4.555393358648611,4.629891006558575,7.862622090593402,0.08108108,0.24324325,0.3108108,0.29054055,0.23232323,0.082491584,0.17904884,0.119670965,0.10451805,0.084193304,0.05434797,0.07408572,4.341371597782258,5.035991053427419,8.3740234375,18.142147514763778,30.906479779411764,42.81357020547945,-0.12571232,-0.032797355,-0.06702508,-0.05387307,-0.059545696,-0.037758477,0.67310643,0.7202587,0.45921284,0.5876669,0.5102605,0.30560064,124.0,106310.mp3,extended_ballroom
9,4.25,2.1333333333333333,2.4285714285714284,2.9583333333333335,3.717948717948718,7.25,1.0897247358851685,0.4988876515698589,0.622699849077239,0.8887803753208976,0.4499981737124164,1.2399596767637244,4,2,2,2,4,8,1.8870866788999558,3.083449101094648,6.024362845889633,13.484181378703108,21.765488237592674,25.284615898823837,1.3160855000656988,2.137967639561281,3.9901248146302244,5.706915637159721,8.343919633465875,12.237505470328266,0.7031692586282626,1.470356751782455,1.4060216438910489,4.1174571784316685,6.073565588269237,7.780949274329434,0.1891892,0.24324325,0.25675675,0.2837838,0.25589225,0.12794612,0.09510477,0.10988627,0.06115482,0.09862473,0.10765381,0.086812735,3.8204070060483875,5.20964591733871,10.0830078125,19.83767531988189,34.959788602941174,50.23009417808219,-0.041234694,0.012436942,-0.034453753,-0.04453187,-0.040984754,-0.038695782,0.6536356,0.72696257,0.63437474,0.44142085,0.32141194,0.2602669,100.0,106807.mp3,extended_ballroom
