,v_eta_A5,v_eta_D5,v_eta_D4,v_eta_D3,v_eta_D2,v_eta_D1,v_sigma_A5,v_sigma_D5,v_sigma_D4,v_sigma_D3,v_sigma_D2,v_sigma_D1,v_mu_A5,v_mu_D5,v_mu_D4,v_mu_D3,v_mu_D2,v_mu_D1,v_sc_A5,v_sc_D5,v_sc_D4,v_sc_D3,v_sc_D2,v_sc_D1,v_ss_A5,v_ss_D5,v_ss_D4,v_ss_D3,v_ss_D2,v_ss_D1,v_ssk_A5,v_ssk_D5,v_ssk_D4,v_ssk_D3,v_ssk_D2,v_ssk_D1,v_zcr_A5,v_zcr_D5,v_zcr_D4,v_zcr_D3,v_zcr_D2,v_zcr_D1,v_scf_A5,v_scf_D5,v_scf_D4,v_scf_D3,v_scf_D2,v_scf_D1,v_sr_A5,v_sr_D5,v_sr_D4,v_sr_D3,v_sr_D2,v_sr_D1,v_sd_A5,v_sd_D5,v_sd_D4,v_sd_D3,v_sd_D2,v_sd_D1,v_sf_A5,v_sf_D5,v_sf_D4,v_sf_D3,v_sf_D2,v_sf_D1,bpm,filename,database
0,3.3333333333333335,3.3333333333333335,2.5555555555555554,2.272727272727273,3.7037037037037037,7.407407407407407,0.4714045207910317,1.247219128924647,0.6849348892187751,0.5378254348272378,0.5972042776517444,0.7332959212304938,3,2,2,2,4,7,2.717596790879308,2.6997062205556865,5.812855145093099,12.364315855674782,19.371054018275068,19.510752941013553,1.536619009044638,1.5459032152477676,3.549299483290178,8.397244208622094,10.64350373199453,10.280369746308036,0.42944514768247555,0.1509198003846844,0.6883447723737076,1.8097256412443474,4.0668685561461455,5.682658178773388,0.2,0.2,0.25490198,0.34313726,0.25980392,0.1004902,0.1277495,0.13318315,0.07700128,0.07091181,0.07588806,0.07390117,4.66552734375,4.66552734375,9.030052923387098,20.5078125,34.58876722440945,44.586397058823536,-0.11232731,-0.13298003,-0.20174597,-0.25656205,-0.1915698,-0.1404052,0.8714492,0.7598541,0.78205425,0.53803843,0.5759238,0.32779634,101,1.wav,ismir2004
1,2.75,3.6666666666666665,3.0,3.0,3.4482758620689653,6.121212121212121,0.4330127018922193,1.699673171197595,0.8660254037844386,0.3535533905932738,1.2201245526175264,1.665288686549586,3,2,2,3,3,7,2.7493394567332237,2.16170539810154,4.967099786469583,11.636670791941253,17.7438513973165,16.977394282407037,1.363806781831059,1.388397148785153,3.621167722224188,6.193377253064997,11.092940859225505,9.400373309756501,1.3858174524829974,-0.036294464241516035,0.7318546823467774,3.1261323880156153,3.561051357686866,6.038734387660227,0.36,0.2,0.1764706,0.2647059,0.19117647,0.080882356,0.19045182,0.10103895,0.07600773,0.10798123,0.08295465,0.09915359,3.9477539062499996,4.306640625,9.030052923387098,18.115234375,30.858606053149604,42.2219669117647,-0.12780856,-0.0015436806,-0.17328262,-0.21766238,-0.2032207,-0.15924844,0.69115144,0.92787915,0.84680825,0.59061205,0.46412444,0.25929618,122,10.wav,ismir2004
2,3.0,2.3333333333333335,2.6666666666666665,3.2,4.166666666666667,6.090909090909091,1.3093073414159542,0.4714045207910317,0.4714045207910317,1.2754084313139327,1.7950549357115015,2.4040828448846914,2,2,3,2,3,5,2.6421437712231537,3.285388032657988,4.642356835106005,9.919724656672326,10.169889871101802,17.72927059515442,1.468794541247616,1.5660940643362482,3.217151685682275,7.711956733483891,8.721919340440184,13.527057235280264,0.4042019913339365,1.2927308031322136,1.006681092185157,0.8990533358004962,1.9141661382545236,0.951140562155088,0.2,0.44,0.21568628,0.15686275,0.15196079,0.036764707,0.11311533,0.17624067,0.0934634,0.04453438,0.040000383,0.01710233,4.66552734375,4.66552734375,7.988123739919355,19.482421875,28.484867125984255,44.92417279411765,-0.039733216,-0.12364837,-0.1596587,-0.043088496,-0.061566606,0.0036300744,0.9196142,0.79213023,0.7173668,0.8362719,0.5846865,0.5216332,87,11.wav,ismir2004
3,3.142857142857143,2.75,2.1818181818181817,3.6153846153846154,4.9,5.486486486486487,1.2453996981544782,1.299038105676658,0.385694607919935,0.624926031125843,0.9949874371066199,2.1638506920268212,2,2,2,3,5,4,2.552308181264503,2.5046425149291367,5.072587398773858,5.997405883792604,7.425562136937644,12.378413606066044,1.7996151372881457,1.767953960229798,4.268857721364398,6.594315923758273,8.955335758907026,13.159891700346527,0.4722148306388357,0.2834685102387205,1.8731823904212095,2.7561030387750605,4.049026516759987,4.014946369367663,0.2,0.28,0.29411766,0.14705883,0.10294118,0.071078435,0.13693625,0.12806469,0.13706973,0.110256545,0.07822992,0.04914071,5.0244140625,4.66552734375,9.724672379032258,18.115234375,26.450233759842522,42.89751838235294,-0.13569449,-0.075849436,-0.3797909,-0.4298802,-0.34420702,-0.23959896,0.8283345,0.8681517,0.6372549,0.48452345,0.5453447,0.3872998,101,12.wav,ismir2004
4,3.0,2.0,3.4285714285714284,2.9411764705882355,2.9411764705882355,6.090909090909091,0.0,0.0,0.9035079029052513,0.4159451654038515,0.3379154497963546,1.1378777791223387,3,2,3,3,3,6,2.9634066537525885,4.191800288506568,6.415252914978012,10.511643603163707,18.329212201385694,19.407941661636205,1.0898981197605175,1.673225316944634,3.305898486351175,5.778388123244592,8.571932062049742,9.916106284450478,1.4787684567426587,1.6158684588903378,0.6437852090215355,2.6492231350464275,5.187906096727928,6.9433894835353,0.28,0.44,0.29411766,0.2647059,0.17156863,0.085784316,0.22994526,0.22315094,0.08705493,0.10563688,0.13315064,0.113524504,3.9477539062499996,5.38330078125,9.724672379032258,16.40625,30.180394931102363,43.573069852941174,-0.1418869,-0.11112027,-0.15078521,-0.21252896,-0.15347247,-0.15539518,0.5689739,0.6798292,0.63643235,0.5486721,0.40996137,0.29221508,128,13.wav,ismir2004
5,2.75,2.75,2.6666666666666665,3.2,3.2580645161290325,6.3125,0.4330127018922193,0.82915619758885,0.4714045207910317,0.39999999999999997,0.9146739921779241,0.8816709987291178,3,2,3,3,3,6,3.0178082201498615,2.2908090021990817,4.939258389348028,12.772414702469193,20.70098539625571,22.050940058405274,1.5504669206020938,1.6216572330511791,3.351353637968197,3.779657120632315,10.83202198789304,11.017831216712052,0.17786735262342526,0.37877489705427425,1.7395614221833893,3.712796935115977,3.5993490018244674,5.535859970108097,0.28,0.2,0.25490198,0.29411766,0.26960784,0.13480392,0.122480616,0.114608504,0.14133215,0.15734448,0.0796446,0.08305848,5.0244140625,4.66552734375,7.988123739919355,15.72265625,32.89323941929134,41.54641544117647,-0.053411398,-0.19333951,-0.30558744,-0.12393229,-0.123282,-0.11090139,0.8179833,0.89996326,0.59036463,0.4200673,0.5391985,0.3311053,120,14.wav,ismir2004
6,2.2,2.75,3.6666666666666665,2.7222222222222223,3.193548387096774,5.486486486486487,0.39999999999999997,1.299038105676658,0.4714045207910317,0.4479032082388083,1.229197347306945,0.49981735159207913,2,2,4,3,3,5,3.4494237017777363,3.521465596005239,5.044397008594134,12.489309733137615,20.914032691387693,20.335283671771055,1.970526492643924,1.8648683519845288,2.6331379724806454,5.533879795951652,10.39493515161029,9.697967753166873,1.0555903776426332,1.3674203307339678,1.9633451264610633,3.639882830720182,4.214221745911761,6.995282123821796,0.28,0.28,0.21568628,0.32352942,0.2009804,0.09068628,0.20015,0.19757743,0.14010295,0.1466204,0.09355162,0.10716838,5.0244140625,5.0244140625,9.030052923387098,15.72265625,34.927872785433074,41.54641544117647,-0.27905187,-0.23354265,-0.23771481,-0.24700598,-0.13769162,-0.12856539,0.6201746,0.72390103,0.5490535,0.47378618,0.45095456,0.32057333,136,15.wav,ismir2004
7,3.6666666666666665,3.6666666666666665,2.2857142857142856,2.5,4.3478260869565215,6.25,0.4714045207910317,1.247219128924647,0.45175395145262565,0.9219544457292888,0.7580693814853348,2.25,4,2,2,2,5,5,2.4206609161471606,1.484479823098205,7.425515384851477,12.054098637868899,17.717192981629477,18.082419752992138,1.2933848714659277,1.3485977134913123,3.395700630784376,5.667901286979121,8.31872741707061,9.32738432451607,0.9781848271795871,0.5794263912487381,3.089866391982102,3.308242183756897,4.561911423134476,6.1358724962117766,0.2,0.12,0.37254903,0.2254902,0.2009804,0.1004902,0.16946995,0.1487729,0.20602846,0.13643171,0.10721291,0.1013752,4.306640625,3.9477539062499996,9.377362651209678,18.798828125,30.858606053149604,37.830882352941174,-0.2063548,-0.29136586,-0.22800338,-0.16050632,-0.10019451,-0.10296318,0.7447962,0.74281424,0.6180151,0.4074447,0.44669092,0.29764733,165,16.wav,ismir2004
8,2.3333333333333335,3.0,2.473684210526316,4.454545454545454,4.95,6.931034482758621,0.4714045207910317,0.0,0.49930699897395464,1.0756508696544758,1.023474474522936,2.4765247408242033,2,3,2,5,4,8,2.827623199545888,2.2822621087664756,5.085560380922126,9.395556458213072,12.493235452966646,13.75084770409111,1.6165968543790599,1.4921159856632789,3.616618668427657,5.0829429381996984,7.625441482106944,8.835266722071566,0.5111358214692184,1.3659081272177123,1.6491865701250445,3.4527351723322424,4.2737427347346255,6.066102321892153,0.36,0.28,0.29411766,0.2254902,0.13235295,0.06127451,0.14118771,0.19086982,0.12873664,0.12475207,0.09154886,0.08343173,4.66552734375,3.9477539062499996,8.682743195564516,17.431640625,27.806656003937007,38.50643382352941,-0.12060347,-0.23674077,-0.23209187,-0.14231622,-0.16182946,-0.10511445,0.80249906,0.7903959,0.68495226,0.60624826,0.47625864,0.3427334,153,17.wav,ismir2004
9,2.2,3.3333333333333335,2.526315789473684,2.7222222222222223,3.5357142857142856,5.444444444444445,0.39999999999999997,1.247219128924647,0.49930699897395464,0.8031573497111645,0.8229799015573509,1.723118046585647,2,2,3,2,3,5,1.1058520376231193,0.8724895642268257,4.734555884836086,8.225970238207148,16.23889201420785,17.73890779905066,1.514193654173547,1.148440766085887,3.8327091470869568,6.9304892447528506,10.276731361147782,10.614140117338826,1.4705010624844324,1.698191522970396,1.6417593457077864,2.1177456477545906,3.254443801336833,4.329707603247576,0.04,0.04,0.21568628,0.18627451,0.1764706,0.078431375,0.22492746,0.21693029,0.12560007,0.086907335,0.068155624,0.06456,4.66552734375,3.5888671875,8.682743195564516,17.431640625,33.57145054133858,42.2219669117647,-0.6143625,-0.57445765,-0.3938282,-0.32018086,-0.20327057,-0.11237636,0.59005946,0.73202556,0.5945789,0.53799146,0.4598603,0.28227836,146,18.wav,ismir2004
